20.8.2016,+36,754,+29,755,ย 2์/๑
21.8.2016,+29,756,+27,756,Þย 3์/๑
22.8.2016,+29,757,+25,757,Þย 1์/๑
23.8.2016,+32,757,+24,756,ัว 1์/๑
24.8.2016,+33,753,+23,752,ว 2์/๑
25.8.2016,+33,749,+21,749,Þ 2์/๑
26.8.2016,+24,749,+20,749,Þว 1์/๑
27.8.2016,+22,751,+19,752,ัว 2์/๑
28.8.2016,+28,746,+23,746,ว 3์/๑
29.8.2016,+20,752,+15,754,ัว 3์/๑
30.8.2016,+22,754,+20,752,Þว 2์/๑
31.8.2016,+27,747,+22,746,Þว 3์/๑
1.9.2016,+14,742,+11,741,ัย 1์/๑
2.9.2016,+14,738,+13,742,ั 2์/๑
3.9.2016,+17,744,+15,746,ว 3์/๑
4.9.2016,+22,746,+14,747,ัว 2์/๑
5.9.2016,+20,749,+21,747,ว 2์/๑
6.9.2016,+20,748,+16,749,ว 2์/๑
7.9.2016,+17,746,+12,745,ว 3์/๑
8.9.2016,+14,739,+13,737,ว 2์/๑
9.9.2016,+14,741,+12,744,ัว 3์/๑
10.9.2016,+14,747,+12,748,ว 2์/๑
11.9.2016,+14,748,+10,749,ัว 2์/๑
12.9.2016,+12,750,+11,749,ว 2์/๑
13.9.2016,+17,737,+12,739,ัว 3์/๑
14.9.2016,+12,740,+9,742,ัว 3์/๑
15.9.2016,+11,741,+9,741,ุ
16.9.2016,+13,743,+10,744,ว 2์/๑
17.9.2016,+11,742,+10,743,ย 1์/๑
18.9.2016,+14,743,+10,743,ว 3์/๑
19.9.2016,+10,745,+10,746,Þว 2์/๑
20.9.2016,+12,749,+10,749,Þว 2์/๑
21.9.2016,+10,746,+12,745,ย 4์/๑
22.9.2016,+19,746,+13,749,Þว 2์/๑
23.9.2016,+14,753,+13,752,ัว 2์/๑
24.9.2016,+20,749,+17,749,ย 3์/๑
25.9.2016,+21,748,+14,749,ย 3์/๑
26.9.2016,+15,750,+12,749,Þว 1์/๑
27.9.2016,+10,747,+10,746,ย 2์/๑
28.9.2016,+13,743,+10,744,ัย 1์/๑
29.9.2016,+12,744,+10,746,ว 1์/๑
30.9.2016,+13,749,+10,751,ั 1์/๑
1.10.2016,+11,749,+12,751,ว 3์/๑
2.10.2016,+19,756,+13,758,ว 2์/๑
3.10.2016,+17,757,+16,756,ุ
4.10.2016,+19,755,+13,755,Þว 2์/๑
5.10.2016,+21,756,+13,756,ย 2์/๑
6.10.2016,+12,758,+9,758,ย 2์/๑
7.10.2016,+16,755,+13,755,ย 3์/๑
8.10.2016,+18,753,+13,755,ย 2์/๑
9.10.2016,+11,755,+7,755,ย 2์/๑
10.10.2016,+7,755,+2,756,ัย 3์/๑
11.10.2016,+5,755,+3,757,ัย 2์/๑
12.10.2016,+7,758,+3,758,ัว 2์/๑
13.10.2016,+4,755,+3,754,ว 2์/๑
14.10.2016,+2,753,+2,754,Þ 1์/๑
15.10.2016,+5,755,+4,755,ั 2์/๑
16.10.2016,+2,758,+2,760,ัย 3์/๑
17.10.2016,+4,761,+3,760,ั 1์/๑
18.10.2016,+4,757,+4,758,ว 3์/๑
19.10.2016,+6,759,+4,759,ัว 1์/๑
20.10.2016,+6,761,+3,762,ัว 2์/๑
21.10.2016,+3,765,0,767,ัย 2์/๑
22.10.2016,+3,769,+1,769,ัย 2์/๑
23.10.2016,+1,772,-1,773,ย 2์/๑
24.10.2016,+2,774,+1,773,ั 1์/๑
25.10.2016,+1,772,0,771,ัย 1์/๑
26.10.2016,0,770,-1,769,Þ 1์/๑
27.10.2016,+3,767,+2,765,ย 2์/๑
28.10.2016,+3,761,-1,759,ัย 1์/๑
29.10.2016,-1,752,-1,750,ั 1์/๑
30.10.2016,0,745,0,745,Þย 2์/๑
31.10.2016,0,737,-2,740,ัย 2์/๑
1.11.2016,-2,746,-4,748,ัว 2์/๑
2.11.2016,-4,751,-6,753,ั 1์/๑
3.11.2016,-4,755,-5,755,ย 2์/๑
4.11.2016,0,746,+1,747,Þว 2์/๑
5.11.2016,+1,748,-2,748,Þว 2์/๑
6.11.2016,-1,753,-2,755,ว 3์/๑
7.11.2016,-2,752,+1,750,Þย 4์/๑
8.11.2016,+7,747,+7,749,Þว 2์/๑
9.11.2016,+2,752,+2,752,ย 2์/๑
10.11.2016,+1,752,0,753,ย 3์/๑
11.11.2016,+6,748,+7,749,ย 2์/๑
12.11.2016,+2,752,+1,752,Þว 3์/๑
13.11.2016,-2,755,-3,757,ว 2์/๑
14.11.2016,-2,759,-4,759,ย 1์/๑
15.11.2016,-6,761,-9,762,ัย 1์/๑
16.11.2016,-7,761,-9,762,Þย 1์/๑
17.11.2016,-6,763,-8,764,Þย 1์/๑
18.11.2016,-6,765,-9,767,Þย 1์/๑
19.11.2016,-8,773,-10,775,Þย 2์/๑
20.11.2016,-11,780,-13,781,Þย 2์/๑
21.11.2016,-9,779,-11,778,Þว 2์/๑
22.11.2016,-5,774,-8,773,ว 2์/๑
23.11.2016,-3,767,-6,765,ว 4์/๑
24.11.2016,-1,757,-4,755,ว 4์/๑
25.11.2016,-2,747,-2,746,Þว 3์/๑
26.11.2016,-2,740,-2,743,ว 3์/๑
27.11.2016,-2,738,-1,740,Þว 3์/๑
28.11.2016,+2,740,+4,738,Þ 2์/๑
29.11.2016,0,745,-1,746,Þว 3์/๑
30.11.2016,-8,749,-10,749,ว 3์/๑
1.12.2016,-9,752,-11,753,Þ 1์/๑
2.12.2016,-9,752,-9,749,Þย 2์/๑
3.12.2016,-7,738,-9,740,ั 1์/๑
4.12.2016,-9,747,-11,749,ัว 3์/๑
5.12.2016,-10,749,-11,748,ว 1์/๑
6.12.2016,-6,738,-4,739,Þว 3์/๑
7.12.2016,-15,745,-18,747,ัว 3์/๑
8.12.2016,-16,746,-13,742,Þ 2์/๑
9.12.2016,-7,737,-6,737,ว 1์/๑
10.12.2016,-5,730,-4,730,ว 2์/๑
11.12.2016,-11,737,-15,740,ัว 3์/๑
12.12.2016,-15,743,-16,743,ว 1์/๑
13.12.2016,-15,746,-17,749,ัว 2์/๑
14.12.2016,-18,751,-19,752,ว 2์/๑
15.12.2016,-18,751,-20,752,Þว 1์/๑
16.12.2016,-21,757,-23,758,ั 2์/๑
17.12.2016,-19,755,-16,752,ว 3์/๑
18.12.2016,-9,746,-7,746,ว 3์/๑
19.12.2016,-2,743,-3,743,ว 2์/๑
20.12.2016,-21,758,-25,760,ั 1์/๑
21.12.2016,-15,751,-10,748,ว 3์/๑
22.12.2016,-19,758,-19,761,ัย 2์/๑
23.12.2016,-12,758,-9,757,Þ 1์/๑
24.12.2016,-7,752,-7,752,Þว 2์/๑
25.12.2016,-8,753,-8,753,ย 1์/๑
26.12.2016,-7,752,-7,750,ว 1์/๑
27.12.2016,-4,746,-5,746,Þว 4์/๑
28.12.2016,-3,749,-3,751,Þว 2์/๑
29.12.2016,-2,757,-3,758,ว 2์/๑
30.12.2016,-5,755,-5,754,ว 1์/๑
31.12.2016,-4,747,-3,744,ว 5์/๑
1.1.2017,-4,740,-4,740,Þว 2์/๑
2.1.2017,-3,736,-2,735,Þว 2์/๑
3.1.2017,0,734,0,735,ว 3์/๑
4.1.2017,-5,741,-9,746,ัว 2์/๑
5.1.2017,-6,749,-3,747,Þย 3์/๑
6.1.2017,-1,752,-3,754,Þว 1์/๑
7.1.2017,-3,753,-3,751,ย 3์/๑
8.1.2017,-7,754,-8,755,ัย 1์/๑
9.1.2017,-10,755,-10,754,ัว 1์/๑
10.1.2017,-9,754,-9,755,ว 1์/๑
11.1.2017,-7,755,-7,755,ว 3์/๑
12.1.2017,-11,755,-13,755,Þว 2์/๑
13.1.2017,-7,755,-8,756,Þย 2์/๑
14.1.2017,-12,760,-14,761,Þย 1์/๑
15.1.2017,-14,762,-18,762,ย 2์/๑
16.1.2017,-14,763,-15,763,Þย 2์/๑
17.1.2017,-12,762,-14,761,Þย 1์/๑
18.1.2017,-14,760,-13,760,ว 2์/๑
19.1.2017,-9,756,-9,753,ว 2์/๑
20.1.2017,-8,741,-5,741,ว 3์/๑
21.1.2017,-9,740,-9,739,ว 3์/๑
22.1.2017,-8,742,-9,742,ัว 3์/๑
23.1.2017,-7,747,-9,747,ว 3์/๑
24.1.2017,-1,740,-2,741,ว 3์/๑
25.1.2017,-6,745,-12,747,ัย 2์/๑
26.1.2017,-17,748,-19,747,ัว 3์/๑
27.1.2017,-16,749,-16,749,ว 1์/๑
28.1.2017,-19,755,-22,759,ย 3์/๑
29.1.2017,-15,764,-20,765,ย 1์/๑
30.1.2017,-12,763,-16,761,ว 2์/๑
31.1.2017,-10,755,-17,754,ว 1์/๑
1.2.2017,-11,746,-12,744,ว 2์/๑
2.2.2017,-8,743,-9,746,ัว 3์/๑
3.2.2017,-11,752,-13,754,ัว 3์/๑
4.2.2017,-13,758,-16,757,ว 1์/๑
5.2.2017,-12,746,-11,743,ย 5์/๑
